"lemma_it","UPOS","lemma_parm","lemma_parm_2","lemma_parm_3","lemma_parm_4","lemma_parm_5","lemma_parm_6","lemma_parm_7","lemma_parm_8","lemma_parm_9","LiITA_URI","LiITA_URI_2","LiITA_URI_3","LiITA_URI_4","LiITA_URI_5","LiITA_URI_6","LiITA_URI_7"
"addio","INTJ","adío","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961155",,,,,,
"addobbare","VERB","dobär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961181",,,,,,
"addobbatore","NOUN","paradór","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961183",,,,,,
"addobbo","NOUN","paradùra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961184",,,,,,
"adocchiare","VERB","dociär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961347",,,,,,
"addolcire","VERB","indolsir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088990",,,,,,
"addormentarsi","VERB","adormìros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961223",,,,,,
"addormentarsi","VERB","indormintärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961223",,,,,,
"addossarsi","VERB","adosäros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961232",,,,,,
"addosso","ADV","adòs","indòs","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088991",,,,,,
"adesso","ADV","adés","adésa","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961309",,,,,,
"adirarsi","VERB","arabires","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961334",,,,,,
"adombrarsi","VERB","inombrärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961356",,,,,,
"adoperare","VERB","drovär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961367",,,,,,
"adoperarsi","VERB","prestäros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961368",,,,,,
"adottare","VERB","adotär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961391",,,,,,
"adulare","VERB","alcär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961418",,,,,,
"adulatore","NOUN","alcón","gonfiadôr","lecacul","lodón","lisadôr","rufiàn","_","_","_","http://liita.it/data/id/lemma/961422",,,,,,
"adulazione","NOUN","strisiäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961424",,,,,,
"affaccendarsi","VERB","facindärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961602",,,,,,
"affacciarsi","VERB","faciärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961607",,,,,,
"affamare","VERB","afamär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961615",,,,,,
"affannarsi","VERB","afanärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961619",,,,,,
"affanno","NOUN","lampi","pantión","räntegh","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089021",,,,,,
"affare","NOUN","afarètt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961625",,,,,,
"affare","NOUN","afäri","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961625",,,,,,
"affaticarsi","VERB","zrenärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961644",,,,,,
"afferrare","VERB","brancär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961668",,,,,,
"affibbiare","VERB","fibiär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961702",,,,,,
"affilatura","NOUN","moladura","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961736",,,,,,
"affittanza","NOUN","fitansa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961765",,,,,,
"affittare","VERB","fitär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961766",,,,,,
"affitto","NOUN","fìtt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961770",,,,,,
"affittuario","NOUN","cazant","fitàbol","fituäri","_","_","_","_","_","_","http://liita.it/data/id/lemma/961772",,,,,,
"afflizione","NOUN","s’ciancacór","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961779",,,,,,
"affogare","VERB","fogär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961789",,,,,,
"affrancare","VERB","francär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961820",,,,,,
"affratellarsi","VERB","afradläros","fradlärs","infradlärs","_","_","_","_","_","_","http://liita.it/data/id/lemma/961830",,,,,,
"affrettarsi","VERB","zgagiärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961841",,,,,,
"affronto","NOUN","afrónt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961854",,,,,,
"affumicato","ADJ","fumä","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22358",,,,,,
"affusolare","VERB","sfuzlär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961865",,,,,,
"affusolato","ADJ","bizlóngh","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22360",,,,,,
"agghindato","ADJ","inginginä","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22380",,,,,,
"aggiungere","VERB","zontär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962020",,,,,,
"aggiungervi","VERB","zontärgh","_","_","_","_","_","_","_","_",,,,,,,
"aggiustare","VERB","arpsär","artocär","comodär","giustär","_","_","_","_","_","http://liita.it/data/id/lemma/962033",,,,,,
"aggiustatina","NOUN","giustadén’na","_","_","_","_","_","_","_","_",,,,,,,
"aggravare","VERB","agravär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962082",,,,,,
"agguantare","VERB","sanfär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962137",,,,,,
"agguato","NOUN","guaita","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962142",,,,,,
"agilità","NOUN","zveltèssa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962159",,,,,,
"agio","NOUN","àg’","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962160",,,,,,
"agitare","VERB","vintajär","zvintajär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962172",,,,,,
"agitarsi","VERB","mezdäres","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962173",,,,,,
"agli","ADP","ai","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089052",,,,,,
"aglio","NOUN","àj","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962185",,,,,,
"agnellino","NOUN","castradlètt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089053",,,,,,
"ago","NOUN","gòccia","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089054",,,,,,
"agostano","ADJ","gostàn","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962233",,,,,,
"agosto","NOUN","agòst","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962241",,,,,,
"agrifoglio","NOUN","ägherfôj","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962267",,,,,,
"agro","ADJ","ägher","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962279",,,,,,
"aguzzino","NOUN","agusén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962332",,,,,,
"aguzzo","ADJ","agúss","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962333",,,,,,
"aiutare","VERB","jutär","ajutär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962388",,,,,,
"aiuto","NOUN","ajùtt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089070",,,,,,
"aizzare","VERB","bòrrer","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962394",,,,,,
"al","ADP","al","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089074",,,,,,
"alle","ADP","al","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089129",,,,,,
"lui","PRON","al","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1007163",,,,,,
"alambicco","NOUN","lambìcch","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962421",,,,,,
"aleatico","NOUN","leatich","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962584",,,,,,
"alimentarsi","VERB","sostgniros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962709",,,,,,
"alitare","VERB","tanfär","arfiadär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962726",,,,,,
"alla","ADP","a la","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089122",,,,,,
"allacciatura","NOUN","lasadura","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962737",,,,,,
"allagare","VERB","inondär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962742",,,,,,
"allampanato","ADJ","panadlón","stangón","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22453",,,,,,
"allargare","VERB","zlargär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089126",,,,,,
"allargarsi","VERB","zbocärs","zlargärs","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962751",,,,,,
"alleggerire","VERB","alzrír","zgravär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962785",,,,,,
"allegria","NOUN","alegrìa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962798",,,,,,
"allegro","ADJ","alégor","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962799",,,,,,
"allentare","VERB","lintär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962811",,,,,,
"allentarsi","VERB","molärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962812",,,,,,
"allevamento","NOUN","bgära","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962854",,,,,,
"allodola","NOUN","fratagna","calandra","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962922",,,,,,
"alloggiare","VERB","alogiär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962935",,,,,,
"alloggio","NOUN","alòg","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089146",,,,,,
"allontanarsi","VERB","zlontanäros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/962947",,,,,,
"allora","ADV","alóra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089149",,,,,,
"allungare","VERB","zlongär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963004",,,,,,
"allungarsi","VERB","zlongärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963005",,,,,,
"alluvione","NOUN","luvión","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963018",,,,,,
"altalena","NOUN","zbalansa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963087",,,,,,
"altare","NOUN","altäri","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963092",,,,,,
"altarino","NOUN","altarén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089165",,,,,,
"alto","ADJ","ält","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1053829",,,,,,
"altrettanto","ADV","ätertant","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/46581",,,,,,
"altro","DET","ätor","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089178",,,,,,
"alzare","VERB","alsär","alvär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963181",,,,,,
"alzarsi","VERB","drisärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963182",,,,,,
"amare","VERB","amär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963217",,,,,,
"ambasciatore","NOUN","imbasadór","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963265",,,,,,
"ambiguo","ADJ","ambìggov","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963293",,,,,,
"ambizione","NOUN","ambisión","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963301",,,,,,
"ambulante","NOUN","pigolòt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1053851",,,,,,
"amica","NOUN","amiga","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1053857",,,,,,
"amicizia","NOUN","amicìssia","misìssia","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963388",,,,,,
"amico","NOUN","amigh","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963390",,,,,,
"amicone","NOUN","amigón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963391",,,,,,
"ammaccatura","NOUN","macadura","zgnicadura","nisadura","zbociadura","zgnicadura","zmacadura","_","_","_","http://liita.it/data/id/lemma/963423",,,,,,
"ammaccare","VERB","macär","zmacär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963421",,,,,,
"ammaccato","ADJ","nìss","zgnìcch","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22531",,,,,,
"ammaccatura","NOUN","zmacadurén’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963423",,,,,,
"ammaccatura","NOUN","nisadura","zbociadura","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963423",,,,,,
"ammalare","VERB","malär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963436",,,,,,
"ammalarsi","VERB","maläres","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963437",,,,,,
"ammanco","NOUN","zmanch","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963454",,,,,,
"ammannire","VERB","manír","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963468",,,,,,
"ammansire","VERB","patumär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963471",,,,,,
"ammassare","VERB","amasär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963483",,,,,,
"ammattimento","NOUN","immatimént","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963493",,,,,,
"ammattire","VERB","immatir","inmatir","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963494",,,,,,
"ammazzare","VERB","copär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963503",,,,,,
"ammorbare","VERB","morbär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963614",,,,,,
"ammorbidire","VERB","zmolzinär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963618",,,,,,
"ammorbidirsi","VERB","zmarinäros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963619",,,,,,
"ammucchiare","VERB","muciär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963644",,,,,,
"ammuffire","VERB","mufir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963649",,,,,,
"ammutolire","VERB","inmutir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963662",,,,,,
"amo","NOUN","lam","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963674",,,,,,
"amore","NOUN","amôr","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963681",,,,,,
"amoreggiare","VERB","morozär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963683",,,,,,
"ampolla","NOUN","ampolén’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089232",,,,,,
"ampolle","NOUN","olivéri","_","_","_","_","_","_","_","_",,,,,,,
"ampolloso","ADJ","ampolôz","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963726",,,,,,
"analizzare","VERB","scandajär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089248",,,,,,
"anatroccolo","NOUN","nadrén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963884",,,,,,
"anch’io","ADV","an’mi","_","_","_","_","_","_","_","_",,,,,,,
"anche","ADV","an’","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089255",,,,,,
"anche","ADV","ànca","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089255",,,,,,
"ancora","ADV","ancòrra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089260",,,,,,
"trantran","NOUN","trantran","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1061061",,,,,,
"andare","VERB","andär a bisabóga","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963937",,,,,,
"andito","NOUN","àndi","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/963951",,,,,,
"anello","NOUN","anél","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089270",,,,,,
"angheria","NOUN","angaría","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089274",,,,,,
"angolino","NOUN","cantonsén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1053934",,,,,,
"angolo","NOUN","cantón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1053935",,,,,,
"angoscia","NOUN","imbostòm","ingosa","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1089281",,,,,,
"angosciato","ADJ","immagonä","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22631",,,,,,
