ID	POS	ENTRATA	NUMERO	GENERE	traduzione1	traduzione2	traduzione3	traduzione4	traduzione5	traduzione6	traduzione7	traduzione8	traduzione9	variant1	variant2	variant3	variant4	variant5	variant6	variant7	variant8	variant9	variant10	variant11	variant12	variant13	variant14	variant15	variant16
194	ADJ	acciummatu	s	m	fiacco	malandato	in cattiva salute							acciumatu															
195	VERB	acciuncari			storpiare	azzoppare																							
196	VERB	acciurari			cernere il fior di farina																								
197	VERB	acciurrari			afferrare									accirrari															
198	VERB	acciviri			provvedersi	fornirsi																							
199	VERB	accrappari			afferrare	acchiappare																							
200	VERB	accrastari			afferrare																								
201	VERB	accruccari			uncinare																								
202	VERB	accrunchiari			acquattarsi																								
203	VERB	accruzzari			ostinarsi																								
204	VERB	abbacantari			svuotare									avvacantari															
205	VERB	abbacari			scemare	diminuire	quietare	cominciare ad esaurirsi						abbalcari	abbarcari														
206	ADJ	abbaccalaratu	s	m	malmesso	fiacco	floscio	molliccio	pigro																				
207	ADJ	abbaccariatu	s	m	squattrinato	senza un soldo	povero	malconcio	di salute malferma					baccariatu															
208	VERB	abbachiari			fare i conti	calcolare								abachiari															
209	VERB	abbachiari			burlare	beffare																							
210	NOUN	àbbacu	s	m	abaco									àbacu															
211	ADJ	abbadaluccatu	s	m	stupido																								
212	VERB	abbaddari			avvallarsi	sprofondare	abbassarsi	crollare																					
213	VERB	abbaddari			ubriacarsi	bere molto																							
214	VERB	abbaddari			abbatuffolare	appallottolare								mbaddari	mpaddari														
215	VERB	abbaddunari			avvallarsi	avvallare	sprofondare	abbassarsi	crollare																				
216	VERB	abbadduttuliari			abbatuffolare	appallottolare	avvolgere sommariamente							badduttuliari	abbadduttulari														
217	VERB	abbaffari			ingozzare	ingrassare	rimpinzare	saziare																					
218	NOUN	abbaguttiri			sbigottirsi									abbauttiri	bauttiri														
219	VERB	abbalatari			lastricare																								
220	VERB	abbalcari			scemare	diminuire	quietare							abbacari	abbarcari														
221	ADJ	abbalintatu	s	m	spaccone																								
222	VERB	abbammariari			chiacchierare	vociare	strepitare																						
223	VERB	abbannuliari			dire ai quattro venti	divulgare	annunziare	far sapere						bannuliari															
224	ADV	abbanticu			da molto tempo	dall'antichità	da tanto tempo																						
225	NOUN	abbappatu	s	m	smargiasso	fanfarone	sbruffone	spaccone	millantatore																				
226	VERB	abbarcari			scemare	diminuire	quietare							abbalcari	abbacari														
227	VERB	abbarriggiari			stabilire un cordone sanitario attorno a un paese in tempo di pestilenza																								
228	VERB	abbarruiri			sbigottirsi	sbigottire								abbarruàrisi	sbarruàrisi														
229	VERB	abbarunari			ammassare cereali nell'aia	ammassare granaglie																							
230	VERB	abbasari			basare	fondare	combaciare	aderire																					
231	VERB	abbaschiari			smaniare	agitarsi								baschiari															
232	VERB	abbasciari			abbassare									avvasciari	abbassari														
233	ADJ	abbastasatu	s	m	incivile	scortese	maleducato	grossolano	triviale	che ha assunto modi da vastasu				avvastasatu															
234	NOUN	abbastu	s	m	fabbisogno	provvista																							
235	NOUN	abbasuni	s	m	bacione									vasuni															
236	NOUN	abbauttiri			sbigottirsi									abbaguttiri	bauttiri														
237	NOUN	abbentu	s	m	riposo	quiete	pace							abbientu															
238	NOUN	abbentu	s	m	avvento	venuta	arrivo							avventu															
239	ADV	abbersu			verso									versu															
240	ADV	abbersu			in ordine	a modo								avversu															
241	ADJ	abbersu	s	m	avverso	sfavorevole								avversu	abbezzu	avvezzu													
242	ADV	abbestra			separatamente																								
243	VERB	abbiari			avviare	condurre e guardare gli animali	gettare	buttare giù	lanciare					avviari	tranzitivu	rigulari													
244	NOUN	abbiaturi	s	m	l'animale capobranco																								
245	ADJ	abbicchiarrinatu	s	m	invecchiaticcio	con viso da vecchio								abbicchiarinatu	abbicchiarrunutu														
246	ADJ	abbicchiarrunutu	s	m	invecchiaticcio	con viso da vecchio								abbicchiarinatu	abbicchiarrinatu														
247	VERB	abbiddiri			diventare bello																								
248	NOUN	abbientu	s	m	riposo	quiete	pace							abbentu															
249	ADJ	abbifaratu	s	m	dal viso enfiato e di colore non sano																								
250	NOUN	abbiggiaru	s	m	abigeo	ladro di bestiame								abbiggiariu															
251	VERB	abbilanzari			bilanciare									abbalanzari															
252	NOUN	abbili	s	f	bile	bile								bili															
253	VERB	abbiliari			dispiacersi																								
254	ADV	abbinciperdi			avventatamente a perdizione									a vinci perdi															
255	VERB	abbintari			acquietarsi																								
256	ADV	abbintruni			faccia a terra																								
257	NOUN	labbirintu	s	m	labirinto									labirintu	abirintu	abbirintu	labberintu	laberintu											
258	VERB	abbirsari			mettere in ordine disporre in ordine	rassettare								avvirsari															
259	ADJ	abbirsatu	s	m	ben messo	ordinato	assennato							avvirsatu	abbissatu														
260	VERB	abbisari			avvisare	indovinare								avvisari															
261	VERB	abbisicchiari			disseccare	risecchire								bisicchiari															
262	VERB	abbiuccari			abbattere	sopraffare								abbjuccari	abjuccari														
263	VERB	abbiulari			avviarsi per i sentieri																								
264	VERB	abbiunniari			diventare biondo	rendere biondo																							
265	VERB	abbiviraggiari			compensare									abbiviraiari															
266	VERB	abbiviraiari			compensare									abbiviraggiari															
267	VERB	abbizzari			equilibrare il peso sul dosso dei somieri																								
268	VERB	abbraari			strillare	diventare rauco per aver parlato o gridato troppo																							
269	VERB	abbraciari			rosolare																								
270	NOUN	abbraciu	s	m	albagio	orbace								arbaciu	avlaciu	avraciu													
271	VERB	abbramari			muggire	desiderare ardentemente																							
272	ADJ	abbramatu	s	m	affamatissimo																								
273	NOUN	abbramoria	s	f	brama									bramoria															
274	NOUN	abbramu	s	m	muggito dei buoi urlo																								
275	VERB	adissari			adizzare																								
276	NOUN	adornu	s	m	falco pecchiaiolo									atornu															
277	ADJ	adugghiatu	s	m	condito con olio																								
278	VERB	adugnari			unghiare	afferrare	far combaciare perfettamente	incastrare	calettare																				
279	VERB	adulatrari			idolatrare									idulatrari															
280	VERB	adurari			indugiare																								
281	VERB	adurbari			inurbarsi																								
282	VERB	aduvari			cominciare a fare uova																								
283	NOUN	afa	s	f	aria calda e soffocante	averla																							
284	ADV	affacciu			in faccia	palesemente																							
285	NOUN	affamoria	s	f	brama																								
286	ADJ	affaratu	s	m	accalorato da vampate di caldo	accalorato da vampate di fuoco																							
287	NOUN	affidamentu	s	m	fondamento									appidamentu															
288	VERB	affigghiari			affibbiare									affibbiari															
289	VERB	affinaitari			confinare																								
290	VERB	affirragghiari			afferrarsi																								
291	VERB	affittari			prendere o dare in affitto	guardare																							
292	NOUN	affittata			salita									appittata															
293	ADJ	affrattariatu	s	m	pieno di premura									affrattiddatu															
294	ADJ	affrattiddatu	s	m	pieno di premura									affrattariatu															
295	VERB	affrigugghiari			rabbrividire	fremere	esser preso dalla febbre							affrivugghiari	affrivigghiari														
296	VERB	affrivari			bramare ardentemente																								
297	VERB	affrivigghiari			esser preso dalla febbre									affrivugghiari	affrigugghiari														
298	VERB	affrivugghiari			esser preso dalla febbre									affrigugghiari	affrivigghiari														
299	VERB	affruntari			affrontare																								
300	NOUN	affruntu	s	m	vergogna	timidezza																							
301	ADJ	affruntusu	s	m	vergognoso																								
302	VERB	affucari			soffocare	strozzare																							
303	ADJ	affucusu	s	m	aspro	afro																							
304	VERB	affumirari			concimare																								
305	VERB	affunari			legare																								
306	VERB	affunciari			imbronciarsi																								
307	VERB	affuranari			annebbiarsi																								
308	VERB	affurturari			essere preso da gelo																								
309	VERB	affutari			annusare	fiutare	odorare	inspirare un odore																					
310	VERB	aggaddari			afferrare																								
311	VERB	aggaffari			arraffare																								
312	VERB	aggagghiari			afferrare									ngagghiari															
313	VERB	aggammari			rimboccare	ribadir un chiodo	ritorcere l'estremità																						
314	VERB	aggangari			addentare																								
315	ADJ	aggangulatu	s	m	lasciato là in ozio a digiuno																								
316	VERB	aggarifari			infiacchire																								
317	VERB	aggarrari			afferrare																								
318	VERB	aggattari			acquattarsi	acquattarsi per non esser visto	agguattare	accovacciare	rimpiattare	nascondere	piattare	appiattare		agguattari	ngattari	aggattàrisi	agguattàrisi	agguattìrisi											
319	VERB	agghiacatari			lastricare una via																								
320	VERB	agghiaccari			legare con un cappio	accappiare								acchiaccari															
321	NOUN	agghialoru	s	m	orzaiolo									occhialoru															
322	NOUN	agghiandra	s	f	ghianda									agghiànnara	agghiànnira	ghiànnara													
323	NOUN	agghianna	s	f	ghianda									ghianna															
324	NOUN	agghiànnara	s	f	ghianda									agghiandra	agghiànnira	ghiànnara													
325	NOUN	agghiànnira	s	f	ghianda									agghiandra	agghiànnara	ghiànnara													
326	NOUN	agghiara	s	f	ghiaia									ghiara															
327	NOUN	àgghiaru	s	m	acero																								
328	NOUN	agghiastru	s	m	ogliastro																								
329	VERB	agghiattari			vantarsi																								
330	VERB	agghiazzari			agghiacciare									agghiacciari															
331	VERB	agghicari			arrivare																								
332	ADJ	agghifarunatu	s	m	grosso e grasso																								
333	NOUN	agghìgaru	s	m	aro	gigaro	gicaro	pianta di tipo Arum italicum						gìcaru															
334	VERB	agghilari			gelare									jilari	njilari	gnilari	nghilari	gilari	ilari										
335	VERB	agghimmari			metter la gobba																								
336	NOUN	agghiotta			una vivanda marinaresca di olio e cipolle																								
337	ADV	agghiri			verso																								
338	VERB	agghisari			alzare	issare								jisari	aisari	isari													
339	VERB	agghiuccari			appollaiarsi									aggiuccari															
340	VERB	agghiudiscari			diventare ostinato																								
341	VERB	agghiummarari			avvolgere																								
342	VERB	agghiurnari			farsi giorno																								
343	ADJ	agghiùstitu	s	m	fermo	saldo	immobile							aggiùstitu															
344	VERB	agghiùttiri			inghiottire	ingollare								nghiùttiri	agliùttiri														
345	ADJ	aggiaccatu	s	m	ben vestito																								
346	VERB	aggibbari			sottoporsi	curvarsi sotto il peso	metter la gobba							gibbari															
347	VERB	aggigghiari			germogliare	morire dal freddo	congelare																						
348	VERB	aggirbari			inselvatichire									argibbari															
349	VERB	aggiuccari			appollaiarsi									agghiuccari															
350	ADJ	aggiummatu	s	m	riposato									aggimmatu															
351	ADJ	aggiùstitu	s	m	fermo	saldo	immobile							agghiùstitu															
352	VERB	agglassari			cuocere lentamente la carne versandovi del liquido									aggrassari															
353	VERB	aggramagghiari			vestirsi a lutto									ngramagghiari	ingramagghiari														
354	VERB	aggramignari			rubare di nascosto																								
355	VERB	aggrampari			afferrare									aggranfari	arranfari														
356	VERB	aggrancari			aggranchiare	contrarsi dei muscoli								ngrancari	grancari														
357	VERB	aggranciari			soffriggere	dare una prima cottura								arranciari	ngranciari														
358	VERB	aggrancicari			arrampicarsi									aggrancicàrisi															
359	VERB	aggranfari			afferrare									aggrampari	arranfari														
360	VERB	aggrassari			cuocere lentamente la carne versandovi del liquido									agglassari															
361	NOUN	aggràttitu	s	m	acciacco																								
362	VERB	aggriciari			ingrigire	incanutire																							
363	VERB	aggriciari			rubare																								
364	VERB	aggrifari			rubare di nascosto	rapinare																							
365	VERB	aggrignari			prendere per i capelli	acciuffare																							
366	VERB	aggrisari			eclissare									aggrissari															
367	ADV	aggritta			in piedi	all' impiedi								a ddritta	a la dritta	addritta													
368	VERB	aggrugnari			rannicchiarsi									aggrugnunari															
369	VERB	aggrugnunari			rannicchiarsi									aggrugnari															
370	VERB	aggrunnari			ingrugnarsi	ingrugnirsi								aggrunnàrisi															
371	VERB	agguacciari			acquattare	accucciare	coprire bene	affacciare																					
372	VERB	aggualari			uguagliare																								
373	VERB	agguantari			resistere	reggere																							
374	VERB	agguattari			acquattarsi	acquattarsi per non esser visto	agguattare	accovacciare	rimpiattare	nascondere	piattare	appiattare		aggattari	ngattari	aggattàrisi	agguattàrisi	agguattìrisi											
375	VERB	aggucciari			accucciare	coricarsi	coprire bene	accostare	addossare					accucciari															
376	VERB	aggurgari			impaludare																								
377	VERB	agguvitari			fare gomito																								
378	ADJ	àghiru	s	m	agro									gàghiru	gagru	àiru	gàiru	àjiru	jàuru	agru									
379	NOUN	agiti	p	f	bietole	barbabietole								aiti	giri														
380	VERB	agnunari			mettere da parte	conservare																							
381	NOUN	agnunata			angolo																								
382	NOUN	agnuni	s	m	angolo									gnuni															
383	NOUN	agrùmulu	s	m	mortella																								
384	ADV	aguannu			quest'anno									avannu															
385	VERB	abbaffàrisi			accovacciarsi	acquattarsi	sdraiarsi																						
386	NOUN	agugghia		f	ago	aguglia																							
387	NOUN	agugghiata			pungolo																								
388	NOUN	agugghiera			agoraio																								
389	NOUN	agùmara			corbezzolo	ciliegio marino								agùmaru	aùmmaru	aùmmira													
390	NOUN	agùmaru	s	m	corbezzolo	ciliegio marino								agùmara	aùmmaru	aùmmira													
391	NOUN	maaru	s	m	stregone	mago								magaru	mavaru														
392	NOUN	maasenu	s	m	magazzino									magasenu															
393	NOUN	macaduru	s	m	luogo di riunione per conversazioni o passatempi									magaduru	macaruru														
394	NOUN	macalucu	s	m	ornitogalo																								
395	NOUN	macaluffu	s	m	compenso che si da al banditore dell'incanto									magaluffu															
396	NOUN	macaluggiu	s	m	cotone avulso dal seme																								
397	ADJ	maccagnuni	s	m	neghittoso	poltrone																							
398	NOUN	maccarìa	s	f	calma di mare																								
399	NOUN	maccarruni	s	m	un maccherone																								
400	NOUN	macchera	s	f	strage	rovina	disastro	macello	eccidio																				
401	NOUN	macciu	s	m	mulo																								
402	NOUN	maccu	s	m	macco																								
403	VERB	maciari			smagrire																								
404	VERB	macicari			masticare									masticari															
405	NOUN	macinga	s	f	energia demoniaca	diavolo								macingu															
406	NOUN	macingu	s	f	energia demoniaca	diavolo								macinga															
407	NOUN	macionna	s	f	donna trascurata	sciatta																							
408	NOUN	maddoccu	s	m	batuffolo di cose																								
409	ADJ	maddrarutu	s	m	grasso	rozzo	pesante																						
410	VERB	madduccari			abbatuffolare									ammadduccari															
411	ADJ	maduru	s	m	sordido																								
412	NOUN	màfara	s	f	turacciolo da botte	tappo	mafaro							màfira															
413	NOUN	màfara	s	f	piattello fondo																								
414	NOUN	mafaredda	s	f	vasetto	piccolo contenitore	piccolo recipiente																						
415	NOUN	mafarera	s	f	vasetto	piccolo contenitore	piccolo recipiente																						
416	NOUN	maffata	s	f	folata	zaffata																							
417	NOUN	mafia	s	f	mafia																								
418	NOUN	magaduru	s	m	luogo di riunione per conversazioni o passatempi									macaruru	macaduru														
419	VERB	magagghiari			battere fortemente	maltrattare																							
420	NOUN	magagghiuni	s	m	vite grossa																								
421	NOUN	magaluffu	s	m	compenso che si da al banditore dell'incanto									macaluffu															
422	NOUN	magararu	s	m	pranzo nuziale a base di carne																								
423	ADP	mâ	s	f	me la									m'â	m'a	mi la													
424	NOUN	magarìa	s	f	stregoneria	stregheria	affatturamento							mavarìa	maarìa														
425	NOUN	magaru	s	m	stregone	mago								maaru	mavaru														
426	NOUN	magasenu	s	m	magazzino									maasenu															
427	ADJ	màghiru	s	m	magro									màiru	màuru	magru													
428	NOUN	magna	s	f	pompa																								
429	VERB	magniari			darsi arie	credersi grande																							
430	ADJ	magnu	s	m	grande	magno																							
431	NOUN	magnusa	s	f	pesce martello																								
432	ADJ	magnusu	s	m	pomposo																								
433	NOUN	maguggiu	s	m	gancio appuntito	per tirare la stoppa dalle commessure delle barche								mauggiu															
434	ADJ	maiàtica	s	f	che matura in maggio									majàtica															
435	NOUN	maidda	s	f	madia																								
